mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,cost,,,,,
0.400910378,0.718461514,0.686046512,0.705882353,5.317994433,1.892623065,1.114397287,"[1, 2, 4, 5, 7]","['f', 'f', 'f']",1594.987129,max_weight_bound,1,cost weights,[1. 1.],19:26.7
1.351196647,1.874666929,0.686046512,0.705882353,6.919915829,2.234859785,1.105730891,"[2, 3, 5, 7, 8]","['nf', 'f', 'f']",1583.754515,max_weight_bound,1,cost weights,[1. 1.],24:50.1
0.078553043,0.139949739,1,0.911764706,6.617569271,2.251305106,0.962950096,"[1, 4, 5, 6, 7]","['nf', 'f', 'f']",1582.722881,max_weight_bound,1,cost weights,[1. 1.],22:40.7
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[1, 3, 6, 7, 8]","['nf', 'nf', 'f']",1579.651403,max_weight_bound,1,cost weights,[1. 1.],22:32.4
0.021171765,0.037689831,1,1,2.252907564,0.746015524,0.341457506,"[1, 2, 5, 6, 7]","['f', 'f', 'f']",1579.610791,max_weight_bound,1,cost weights,[1. 1.],20:19.6
0.400095642,0.716330767,0.662790698,0.705882353,5.581686407,1.886523519,1.126231745,"[1, 3, 4, 5, 7]","['nf', 'f', 'f']",1575.572572,max_weight_bound,1,cost weights,[1. 1.],21:24.4
1.23558259,1.641671658,0.61627907,0.617647059,10.99749568,3.121870768,1.125050277,"[1, 4, 5, 7, 8]","['nf', 'f', 'f']",1542.30454,max_weight_bound,1,cost weights,[1. 1.],22:56.9
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[2, 5, 6, 7, 8]","['nf', 'nf', 'f']",1526.854565,max_weight_bound,1,cost weights,[1. 1.],25:33.4
0.024964323,0.045303788,1,0.970588235,4.179662401,1.223687206,0.509595096,"[3, 4, 6, 7, 8]","['f', 'f']",1517.553408,max_weight_bound,1,cost weights,[1. 1.],26:20.9
1.3492167,1.87199676,0.686046512,0.705882353,7.202716471,2.286800311,1.114751115,"[1, 2, 5, 7, 8]","['f', 'f', 'f']",1489.524044,max_weight_bound,1,cost weights,[1. 1.],20:38.9
0.020696839,0.036487501,1,1,2.419153911,0.754835556,0.341457506,"[1, 2, 3, 4, 5]","['f', 'f']",1479.307834,max_weight_bound,1,cost weights,[1. 1.],17:20.2
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[1, 5, 6, 7, 8]","['nf', 'nf', 'f']",1475.703032,max_weight_bound,1,cost weights,[1. 1.],23:10.2
1.351196647,1.874666929,0.686046512,0.705882353,6.919915829,2.234859785,1.105730891,"[1, 3, 5, 7, 8]","['nf', 'f', 'f']",1467.361831,max_weight_bound,1,cost weights,[1. 1.],22:26.0
0.970359921,0.88796097,1,1,4.463648165,1.479485457,1.104298398,"[2, 3, 4, 5, 8]","['nf', 'f', 'f']",1449.379493,max_weight_bound,1,cost weights,[1. 1.],24:06.5
1.340320706,1.861488461,0.662790698,0.705882353,7.489179373,2.278217858,1.126231745,"[3, 4, 5, 7, 8]","['f', 'f']",1448.240968,max_weight_bound,1,cost weights,[1. 1.],26:17.5
0.060726974,0.111751691,1,0.911764706,7.173197351,2.269260096,0.962950096,"[4, 5, 6, 7, 8]","['f', 'f']",1430.435785,max_weight_bound,1,cost weights,[1. 1.],26:28.7
1.23558259,1.641671658,0.61627907,0.617647059,10.99749568,3.121870768,1.125050277,"[2, 4, 5, 7, 8]","['nf', 'f', 'f']",1417.867077,max_weight_bound,1,cost weights,[1. 1.],25:21.0
0.965159416,0.881446004,1,1,4.313287952,1.495859138,1.10257487,"[1, 2, 3, 5, 8]","['f', 'f', 'f']",1407.297567,max_weight_bound,1,cost weights,[1. 1.],18:28.6
0.400744498,0.7182284,0.686046512,0.705882353,5.275100137,1.886559854,1.108824119,"[1, 2, 3, 4, 7]","['f', 'f', 'f']",1381.319052,max_weight_bound,1,cost weights,[1. 1.],17:44.7
0.962807178,0.879087925,1,1,4.190838178,1.499631031,1.100268528,"[1, 2, 3, 4, 8]","['f', 'f', 'f']",1364.296316,max_weight_bound,1,cost weights,[1. 1.],17:57.0
0.020430058,0.035999559,1,1,2.195237395,0.7437044,0.341457506,"[1, 2, 4, 5, 6]","['f', 'f', 'f']",1343.191504,max_weight_bound,1,cost weights,[1. 1.],19:12.0
1.350699544,1.874069691,0.686046512,0.705882353,7.121909625,2.271803966,1.105682358,"[1, 2, 3, 7, 8]","['f', 'f', 'f']",1339.714341,max_weight_bound,1,cost weights,[1. 1.],18:57.2
0.962903321,1.154639363,1,0.911764706,8.376946567,2.666441962,1.047815062,"[2, 4, 5, 6, 8]","['nf', 'f', 'f']",1333.393727,max_weight_bound,1,cost weights,[1. 1.],25:12.9
1.365107179,1.89425683,0.686046512,0.705882353,8.577276069,2.515849594,1.181906819,"[2, 3, 4, 7, 8]","['nf', 'f', 'f']",1325.560747,max_weight_bound,1,cost weights,[1. 1.],24:28.4
0.968661964,1.189738154,1,1,4.079175661,1.481016469,0.978348292,"[1, 2, 5, 6, 8]","['f', 'f', 'f']",1254.878775,max_weight_bound,1,cost weights,[1. 1.],20:28.8
0.021169173,0.037477538,1,1,2.305691543,0.748360546,0.341457506,"[1, 2, 4, 6, 7]","['f', 'f', 'f']",1225.507018,max_weight_bound,1,cost weights,[1. 1.],19:50.7
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[2, 4, 6, 7, 8]","['nf', 'nf', 'f']",1212.958456,max_weight_bound,1,cost weights,[1. 1.],25:27.1
0.967708707,1.188263893,1,0.970588235,4.075854775,1.466577228,0.978774823,"[1, 2, 4, 6, 8]","['f', 'f', 'f']",1193.119525,max_weight_bound,1,cost weights,[1. 1.],20:00.6
0.021303533,0.037959546,1,1,2.253689348,0.74723965,0.341457506,"[1, 2, 6, 7, 8]","['f', 'f']",1165.735293,max_weight_bound,1,cost weights,[1. 1.],20:47.2
1.365107179,1.89425683,0.686046512,0.705882353,8.577276069,2.515849594,1.181906819,"[1, 3, 4, 7, 8]","['nf', 'f', 'f']",1088.3617,max_weight_bound,1,cost weights,[1. 1.],22:04.6
0.970359921,0.88796097,1,1,4.463648165,1.479485457,1.104298398,"[1, 3, 4, 5, 8]","['nf', 'f', 'f']",1081.152649,max_weight_bound,1,cost weights,[1. 1.],21:42.5
1.348369956,1.87113142,0.686046512,0.705882353,7.192798006,2.275835249,1.112780496,"[1, 2, 4, 7, 8]","['f', 'f', 'f']",1050.03068,max_weight_bound,1,cost weights,[1. 1.],20:10.2
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[1, 4, 6, 7, 8]","['nf', 'nf', 'f']",1046.518006,max_weight_bound,1,cost weights,[1. 1.],23:02.9
0.962903321,1.154639363,1,0.911764706,8.376946567,2.666441962,1.047815062,"[1, 4, 5, 6, 8]","['nf', 'f', 'f']",993.3670063,max_weight_bound,1,cost weights,[1. 1.],22:48.8
0.962409198,0.878854632,1,1,4.232803536,1.50327163,1.105103418,"[1, 2, 4, 5, 8]","['f', 'f', 'f']",978.0924544,max_weight_bound,1,cost weights,[1. 1.],19:41.2
,,,,,,,,,,,,,,
0.017633229,0.033849496,,,,,,,,,,,,,
55,8,,,,,,,,,,,,,
